,district,size,level,max_levels,price
5999,Шайхантахурский,75.0,4,7,94000.0
6000,Мирабадский,104.0,8,9,188000.0
6001,Учтепинский,50.0,4,4,59000.0
6002,Мирабадский,65.0,1,2,60000.0
6003,Яшнободский,105.0,4,8,320000.0
6004,Яшнободский,70.0,3,4,84000.0
6005,Чиланзарский,60.0,5,9,70000.0
6006,Чиланзарский,50.0,3,5,67000.0
6007,Чиланзарский,50.0,2,4,69000.0
6008,Учтепинский,65.0,4,5,77000.0
6009,Чиланзарский,50.0,1,5,74000.0
6010,Чиланзарский,40.0,1,5,51000.0
6011,Чиланзарский,32.0,1,4,54000.0
6012,Мирзо-Улугбекский,65.0,5,9,77600.0
6013,Мирзо-Улугбекский,180.0,3,9,220000.0
6014,Яшнободский,90.0,5,9,110000.0
6015,Юнусабадский,69.0,5,7,104000.0
6016,Учтепинский,72.0,7,9,78000.0
6017,Мирабадский,81.0,3,5,83000.0
6018,Чиланзарский,30.0,2,4,58600.0
6019,Чиланзарский,30.0,4,4,51800.0
6020,Учтепинский,59.0,4,9,64000.0
6021,Чиланзарский,65.0,4,4,87000.0
6022,Чиланзарский,72.0,5,9,114000.0
6023,Юнусабадский,55.0,2,4,110000.0
6024,Юнусабадский,75.0,4,9,160000.0
6025,Яккасарайский,65.0,1,4,80000.0
6026,Мирабадский,100.0,15,16,260000.0
6027,Юнусабадский,45.0,1,5,80000.0
6028,Шайхантахурский,96.0,4,8,220000.0
6029,Мирабадский,72.0,1,2,80000.0
6030,Яккасарайский,65.0,4,7,176000.0
6032,Мирзо-Улугбекский,102.0,2,5,110000.0
6033,Яккасарайский,70.0,11,13,90000.0
6034,Мирзо-Улугбекский,38.0,3,5,45000.0
6035,Юнусабадский,72.0,3,4,84000.0
6036,Мирзо-Улугбекский,92.0,5,5,83000.0
6037,Сергелийский,52.0,1,7,69800.0
6038,Мирабадский,100.0,6,9,140000.0
6039,Мирзо-Улугбекский,84.0,8,12,112000.0
6040,Юнусабадский,65.0,2,4,77000.0
6041,Мирабадский,100.0,2,4,156000.0
6042,Мирабадский,55.0,3,3,53800.0
6043,Сергелийский,76.0,5,5,66000.0
6045,Мирабадский,135.0,2,4,330000.0
6046,Мирабадский,147.0,3,12,264000.0
6047,Учтепинский,70.0,2,5,87000.0
6049,Яккасарайский,58.0,4,5,90000.0
6050,Яккасарайский,96.0,5,9,132000.0
6051,Шайхантахурский,72.0,2,5,96000.0
6052,Олмазорский,107.0,3,7,196000.0
6053,Мирабадский,115.0,7,9,210000.0
6055,Юнусабадский,63.0,5,9,90000.0
